Mcg, Gvh, Alm, Mit, Erl, Pox, Vac, Nuc, Class
64,62,49,15,5,0,53,22,0
58,44,57,13,5,0,54,22,0
42,44,48,54,5,0,48,22,0
51,4,56,17,5,5,49,22,0
5,54,48,65,5,0,53,22,0
48,45,59,2,5,0,58,34,0
55,5,66,36,5,0,49,22,0
4,39,6,15,5,0,58,3,0
42,37,59,2,5,0,52,29,0
4,42,57,35,5,0,53,25,0
66,55,45,19,5,0,46,22,0
46,44,52,11,5,0,5,22,0
47,39,5,11,5,0,49,4,0
58,47,54,11,5,0,51,26,0
5,34,55,21,5,0,49,22,0
61,6,55,21,5,0,5,25,0
45,4,5,16,5,0,5,22,0
43,44,48,22,5,0,51,22,0
73,63,42,3,5,0,49,22,0
43,53,52,13,5,0,55,22,0
46,53,52,15,5,0,58,22,0
51,51,52,51,5,0,54,22,0
59,45,53,19,5,0,59,27,0
53,54,43,1,5,0,57,32,0
51,51,43,87,5,0,52,22,0
38,61,61,12,5,0,53,47,0
33,55,51,43,5,0,51,22,0
78,74,42,26,5,0,43,22,0
59,53,43,44,5,0,5,22,0
57,53,53,34,5,0,53,22,0
86,68,39,24,5,0,54,22,0
41,54,39,2,5,0,51,22,1
53,31,58,39,5,0,47,37,0
74,75,58,47,5,0,4,35,0
49,39,52,29,5,0,48,22,0
74,57,51,28,5,0,58,22,0
42,24,34,16,5,0,5,22,1
48,39,51,21,5,0,52,28,0
41,53,45,14,5,0,52,66,1
45,46,55,43,5,0,55,38,0
56,48,58,27,5,0,51,22,0
64,59,56,23,5,0,46,22,0
64,56,56,22,5,0,45,22,0
66,62,49,1,5,0,49,22,0
53,44,51,33,5,0,55,22,0
38,49,53,19,5,0,5,22,0
43,35,52,52,5,0,54,22,0
37,32,47,18,5,0,45,25,0
48,43,51,32,5,0,52,43,0
6,47,45,22,5,0,51,29,0
34,46,57,9,5,0,55,22,0
48,54,55,12,5,0,51,22,0
47,39,59,15,5,0,57,22,0
48,42,52,24,5,0,56,22,0
58,51,49,27,5,0,57,29,0
6,5,44,61,5,0,47,22,0
45,55,54,66,5,0,47,22,0
46,49,58,23,5,0,44,22,0
5,54,53,54,5,0,51,27,0
63,57,59,4,5,0,38,22,0
43,57,51,49,5,0,48,22,0
48,45,55,5,5,0,53,22,0
51,54,6,57,5,0,58,22,0
54,52,63,37,5,0,46,22,0
28,58,21,13,5,0,51,22,1
39,44,35,16,5,0,55,22,1
8,63,45,29,5,0,51,22,0
5,52,59,3,5,0,51,35,0
36,46,62,46,5,0,51,33,0
46,38,47,22,5,0,52,27,0
4,45,56,2,5,0,45,22,0
49,61,49,25,5,0,5,28,0
38,5,37,26,5,0,43,22,1
